provincia,departamento,sector,ambito,grado,0anos,1ano,2anos,3anos,4anos,5anos,6anos,7anos,8anos,9anos,10anos,11anos,12anos,13anos,14anos,15anos,16anos,17anos,18anos,19anos,20anos,21anos,22anos,23anos,24anos,25anos,26anos,27anos,28anos,29anos,menosde18anos,11anosymenos,6anosymas,18anosymas,25anosymas,30anosymas,de20a24anos,de25a29anos
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,7°, , , , , , , , , , , , ,156,19,3,1,1, , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,8°, , , , , , , , , , , , ,2,133,21,9,2,2, , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,9°, , , , , , , , , , , , , ,1,123,14,6,4, , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,Deambuladores, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,Sala de 2, , ,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,Sala de 3, , , ,139, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,Sala de 4, , , , ,169, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,Sala de 5, , , , , ,169, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,1°, , , , , , ,46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,10°, , , , , , , , , , , , , , , ,26,3,3,1, , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,11°, , , , , , , , , , , , , , , , ,41,8,2,1, , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,12°, , , , , , , , , , , , , , , , , ,36,6,2, , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,13°/14°, , , , , , , , , , , , , , , , , , ,5,1, , , , , , , , , , , , , , , , ,2, 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,2°, , , , , , , ,48,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,3°, , , , , , , , ,49,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,4°, , , , , , , , , ,44,5, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,5°, , , , , , , , , , ,41,1, , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,6°, , , , , , , , , , , ,44, , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,7°, , , , , , , , , , , , ,41,3, ,2, , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,8°, , , , , , , , , , , , , ,39,6,2,3,1, , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,9°, , , , , , , , , , , , , , ,30,5,3,2, , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,Sala de 2, , ,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,Sala de 3, , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,Sala de 4, , , , ,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,Sala de 5, , , , , ,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,1°, , , , , , ,106, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,10°, , , , , , , , , , , , , , ,2,31,16,6,2,1, , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,11°, , , , , , , , , , , , , , , , ,21,19,8,3, , , , , , , , , , , , , , , , ,7, 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,12°, , , , , , , , , , , , , , , , ,2,25,20,11, , , , , , , , , , , , , , , , ,3, 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,13°/14°, , , , , , , , , , , , , , , , , , ,10,1, , , , , , , , , , , , , , , , ,1, 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,2°, , , , , , , ,112,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,3°, , , , , , , , ,109,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,4°, , , , , , , , , ,100,1, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,5°, , , , , , , , , , ,84,3, , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,6°, , , , , , , , , , , ,88, , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,7°, , , , , , , , , , , , ,37,4, , , , , , , , , , , , , , , , , ,2, , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,8°, , , , , , , , , , , , , ,52,7, ,2, , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,9°, , , , , , , , , , , , , ,1,43,10,9,3,2,1, , , , , , , , , , , , , , , , , , 
